id,centroid_lon,centroid_lat,area_px,mean_prob,max_prob,min_prob
1,76.84350637109529,33.149091625408104,65536,0.8740643262863159,0.8740641474723816,0.8740641474723816
2,76.3835689456261,33.10309788286119,65536,0.8653994202613831,0.8653995394706726,0.8653995394706726
3,76.3835689456261,33.011110397767354,65536,0.8563346266746521,0.8563345670700073,0.8563345670700073
4,76.98148759873605,33.011110397767354,65536,0.8814277052879333,0.8814276456832886,0.8814276456832886
5,77.02748134128296,32.96511665522043,65536,0.8709898591041565,0.8709899187088013,0.8709899187088013
6,75.9236315201569,32.91912291267351,65536,0.8549281358718872,0.8549284338951111,0.8549284338951111
7,77.11946882637679,32.919122912673515,65536,0.8571571707725525,0.8571572303771973,0.8571572303771973
8,77.62539999439292,32.87312917012659,65536,0.8550902605056763,0.8550904989242554,0.8550904989242554
9,77.8093749645806,32.87312917012659,65536,0.8721705675125122,0.8721708655357361,0.8721708655357361
10,77.85536870712751,32.82713542757968,65536,0.8755828142166138,0.8755831122398376,0.8755831122398376
11,77.90136244967442,32.78114168503275,65536,0.8779133558273315,0.8779130578041077,0.8779130578041077
12,77.76338122203367,32.73514794248584,65536,0.8611912131309509,0.8611912727355957,0.8611912727355957
13,77.94735619222135,32.666157328665456,131072,0.860806405544281,0.8676169514656067,0.8539958596229553
14,78.08533741986211,32.643160457392,65536,0.8563414812088013,0.8563416600227356,0.8563416600227356
15,77.94735619222135,32.4131917446574,65536,0.8580161333084106,0.8580164313316345,0.8580164313316345
16,78.14775749903293,32.30149265561488,917504,0.8667954206466675,0.882958710193634,0.855354905128479
17,77.87836557840095,32.36719800211047,131072,0.862617552280426,0.8635117411613464,0.8617236018180847
18,78.03934367731519,32.32120425956356,65536,0.8703097105026245,0.8703094124794006,0.8703094124794006
19,76.06161274779767,32.27521051701663,65536,0.8652339577674866,0.8652338981628418,0.8652338981628418
20,77.85536870712751,32.26371208137991,262144,0.8613530993461609,0.8671808242797852,0.8550746440887451
21,76.2685845892588,32.22921677446972,131072,0.8795300126075745,0.880988359451294,0.8780720233917236
22,77.93815744371199,32.13722928937588,327680,0.8692375421524048,0.8847087025642395,0.858199954032898
23,78.26931239004979,32.18322303192279,65536,0.8549538254737854,0.8549538850784302,0.8549538850784302
24,76.61353765836068,32.091235546828955,65536,0.8593845963478088,0.8593847751617432,0.8593847751617432
25,78.03934367731519,32.0682386755555,131072,0.8591476082801819,0.8632962107658386,0.8549988865852356
26,78.16199365744032,32.075904299313315,196608,0.8633639812469482,0.8657453656196594,0.8599357008934021
27,78.36129987514363,32.091235546828955,65536,0.8606309294700623,0.8606307506561279,0.8606307506561279
28,75.78565029251614,32.04524180428204,65536,0.8598557114601135,0.8598557114601135,0.8598557114601135
29,76.10760649034457,31.99924806173512,65536,0.8608246445655823,0.8608247637748718,0.8608247637748718
30,76.61353765836068,31.999248061735113,65536,0.8762950301170349,0.8762950301170349,0.8762950301170349
31,78.45328736023747,31.999248061735113,65536,0.8598660826683044,0.8598660230636597,0.8598660230636597
32,77.67139373693983,31.9532543191882,65536,0.8574560880661011,0.857455849647522,0.857455849647522
33,76.15360023289149,31.90726057664128,65536,0.8652342557907104,0.8652339577674866,0.8652339577674866
34,77.53341250929907,31.907260576641278,65536,0.8707960844039917,0.8707959055900574,0.8707959055900574
35,76.01561900525074,31.769279349000524,65536,0.8679481148719788,0.867948055267334,0.867948055267334
36,76.06161274779767,31.700288735180145,131072,0.8643074631690979,0.8670492172241211,0.8615659475326538
37,77.48741876675216,31.72328560645361,65536,0.8539620637893677,0.8539623022079468,0.8539623022079468
38,77.44142502420523,31.677291863906685,65536,0.8721598386764526,0.8721595406532288,0.8721595406532288
39,76.10760649034458,31.608301250086306,131072,0.8585143089294434,0.8589535355567932,0.858074963092804
40,76.98148759873605,31.585304378812843,65536,0.8888586759567261,0.8888583779335022,0.8888583779335022
41,76.15360023289149,31.53931063626592,65536,0.8627651929855347,0.8627648949623108,0.8627648949623108
42,76.24558771798533,31.516313764992468,131072,0.8600015640258789,0.8625544905662537,0.8574485778808594
43,76.10760649034457,31.493316893719,65536,0.8543185591697693,0.8543184399604797,0.8543184399604797
44,76.29158146053226,31.42432627989863,131072,0.8600245118141174,0.8659526705741882,0.8540966510772705
45,76.36057207435265,31.355335666078247,131072,0.864816427230835,0.8655574917793274,0.8640751242637634
46,76.19959397543842,31.309341923531328,65536,0.8753547072410583,0.8753545880317688,0.8753545880317688
47,76.42956268817301,31.263348180984405,65536,0.865266740322113,0.8652666807174683,0.8652666807174683
48,76.56754391581374,31.12536695334365,65536,0.8569058775901794,0.8569056987762451,0.8569056987762451
49,76.61353765836068,30.98738572570289,65536,0.861415445804596,0.8614153861999512,0.8614153861999512
50,76.70552514345452,30.94139198315597,65536,0.861465334892273,0.8614650964736938,0.8614650964736938
51,76.7745157572749,30.895398240609047,131072,0.8615426421165466,0.8615778684616089,0.861506998538971
52,76.84350637109529,30.84940449806213,65536,0.8592673540115356,0.85926753282547,0.85926753282547
53,76.93549385618911,30.80341075551521,65536,0.8617583513259888,0.8617585897445679,0.8617585897445679
54,76.98148759873605,30.757417012968293,65536,0.8616188764572144,0.86161869764328,0.86161869764328
55,77.11946882637679,30.527448300233694,65536,0.8668993711471558,0.8668991327285767,0.8668991327285767
56,77.76338122203367,30.481454557686774,65536,0.8669552206993103,0.8669552803039551,0.8669552803039551
57,77.30344379656447,30.435460815139855,65536,0.8668628334999084,0.8668627738952637,0.8668627738952637
58,77.64839686566637,30.435460815139855,131072,0.8664522171020508,0.8666124939918518,0.8662917613983154
